BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
36840,6234695,36840.dat,Bracket 1 x 1 - 1 x 1 Inverted,11,0,Black,Solid Colors,3,0.29
36841,6372478,36841.dat,Bracket 1 x 1 - 1 x 1,5,4,Red,Solid Colors,2,
3710,371026,3710.dat,Plate 1 x 4,11,0,Black,Solid Colors,7,0.71
3710,371021,3710.dat,Plate 1 x 4,5,4,Red,Solid Colors,6,0.71
3749,4666579,3749.dat,"Technic, Axle  1L with Pin without Friction Ridges ",2,19,Tan,Solid Colors,4,0.22
3794b,6092585,3794b.dat,"Plate, Modified 1 x 2 with 1 Stud with Groove (Jumper) ",11,0,Black,Solid Colors,4,0.3
3795,4211002,3795.dat,Plate 2 x 6,85,72,Dark Bluish Gray,Solid Colors,2,1.74
3937,393726,3937.dat,Hinge Brick 1 x 2 Base,11,0,Black,Solid Colors,2,0.48
4070,407026,4070.dat,"Brick, Modified 1 x 1 with Headlight ",11,0,Black,Solid Colors,8,0.36
48336,4225201,48336.dat,"Plate, Modified 1 x 2 with Bar Handle on Side - Closed Ends ",11,0,Black,Solid Colors,4,0.54
5091,6510127,5091.dat,"Tile, Modified 1 x 2 Wedge Left ",5,4,Red,Solid Colors,3,
5092,6510141,5092.dat,"Tile, Modified 1 x 2 Wedge Right ",5,4,Red,Solid Colors,3,
5414,,5414.dat,Wedge 4 x 1 Right,5,4,Red,Solid Colors,2,0.7
5415,,5415.dat,Wedge 4 x 1 Left,5,4,Red,Solid Colors,2,0.7
54200,4504382,54200.dat,Slope 30 1 x 1 x 2/3,11,0,Black,Solid Colors,1,0.21
60481,4515371,60481.dat,Slope 65 2 x 1 x 2,5,4,Red,Solid Colors,2,1.16
6134,4124096,6134.dat,Hinge Brick 2 x 2 Top Plate,11,0,Black,Solid Colors,2,0.47
4073,614121,6141.dat,"Plate, Round 1 x 1 ",5,4,Red,Solid Colors,4,0.12
4073,614126,6141.dat,"Plate, Round 1 x 1 ",11,0,Black,Solid Colors,4,0.12
65632,6287674,65632.dat,Windscreen 6 x 6 x 1 2/3,13,40,Trans-Brown,Transparent Colors,1,
6636,4113858,6636.dat,Tile 1 x 6,5,4,Red,Solid Colors,2,0.83
69729,6335578,69729.dat,Tile 2 x 6,5,4,Red,Solid Colors,3,
72206pb01,6336858,72206p01.dat,Wheel 24 x 12 with Pin Hole with Molded Black Hard Rubber Tire Pattern,11,0,Black,Solid Colors,4,
77845,6428167,77845.dat,"Plate, Round 1 x 4 with 2 Open Studs ",11,0,Black,Solid Colors,2,
77850,6428168,77850.dat,"Plate, Round 1 x 3 with Open Studs ",11,0,Black,Solid Colors,1,
78329,6350415,78329.dat,Plate 1 x 5,11,0,Black,Solid Colors,1,
85861,6168646,85861.dat,"Plate, Round 1 x 1 with Open Stud ",11,0,Black,Solid Colors,1,0.1
85984,4651524,85984.dat,Slope 30 1 x 2 x 2/3,5,4,Red,Solid Colors,2,0.34
98138,6284070,98138.dat,"Tile, Round 1 x 1 ",11,0,Black,Solid Colors,4,0.11
98138,6284574,98138.dat,"Tile, Round 1 x 1 ",5,4,Red,Solid Colors,1,0.11
99207,6000650,99207.dat,Bracket 1 x 2 - 2 x 2 Inverted,11,0,Black,Solid Colors,6,0.8
99780,6020193,99780.dat,Bracket 1 x 2 - 1 x 2 Inverted,11,0,Black,Solid Colors,3,0.55
99781,6016172,99781.dat,Bracket 1 x 2 - 1 x 2,11,0,Black,Solid Colors,1,0.55
6825a,,bl_6825.dat,"Wheel Cover 5 Spoke Rimless and 9 Spoke Rimless for Wheel 72206pb01, 8 in Bag - 4 of Each (Multipack) ",95,179,Flat Silver,Pearl Colors,4,0.22
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
310,151.276 +a
,,,,,,,,
